tokenizer,distribution,log10_mse,mae,js_distance,rank_correlation,filename
gpt2,historical,-1.579994720613969,0.1372499997196486,0.508073215865889,-0.14730858484207093,gpt2_historical_bias_20250326_211010_distribution.json
gpt2,bimodal,-1.4165933887290538,0.16125000004673815,0.5425927841733968,0.35756661096715786,gpt2_bimodal_20250326_214848_distribution.json
gpt2-medium,recency,-1.853820267487022,0.10358333280753183,0.38344074261323347,0.4910286161402364,gpt2-medium_recency_bias_20250326_223340_distribution.json
gpt2,uniform,-1.9137381846819186,0.0848641975440719,0.6120888238935296,0.0,gpt2_uniform_20250326_193846_distribution.json
gpt2,recency,-1.5632809220095338,0.1327499999042268,0.48512404557116773,0.14730858484207093,gpt2_recency_bias_20250326_202849_distribution.json
bert-base-uncased,recency,-1.6794258559529405,0.11705000153046,0.40608059771284344,0.7733700704208724,bert-base-uncased_recency_bias_20250326_231013_distribution.json
